k_max,alfa,lamda,f,obj1_cdor_dist_to_0.1,obj2_wdor,obj3_caer_dist_to_0.1,obj4_waer,obj5_time
4,0.5956806385965256,0.2627055941142735,0.7552161181522935,1.0,1.0,1.0,1.0,1000.0
4,0.36125588910701756,0.2507232766126317,0.7552161181522935,1.0,1.0,1.0,1.0,1000.0
3,0.5011016647081454,0.555678381848024,0.9266650270275932,1.0,1.0,1.0,1.0,1000.0
10,0.2798554781594288,0.554248420685977,0.7269373460268723,1.0,1.0,1.0,1.0,1000.0
9,0.36646540577483644,0.5498199300131215,1.1178068800115557,1.0,1.0,1.0,1.0,1000.0
3,0.8379793424361054,0.3776764842349579,1.1958328667684435,1.0,1.0,1.0,1.0,1000.0
3,0.8379793424361054,0.3776764842349579,1.3483015744625606,1.0,1.0,1.0,1.0,1000.0
2,0.13565819207233404,0.10945553636680506,1.3483015744625606,1.0,1.0,1.0,1.0,1000.0
7,0.5468442903935455,0.202771581122809,0.8241575383806863,1.0,1.0,1.0,1.0,1000.0
10,0.9338559614072794,0.4798962999652737,1.330035693274327,1.0,1.0,1.0,1.0,1000.0
8,0.1689864733346057,0.12290127489411473,1.0414124727934966,1.0,1.0,1.0,1.0,1000.0
7,0.1693962876375245,0.9543051540756426,0.6732421083716036,1.0,1.0,1.0,1.0,1000.0
6,0.7178354687611718,0.9721365852646895,1.1113917498214947,1.0,1.0,1.0,1.0,1000.0
8,0.7178354687611718,0.5952472783725162,1.0659665173422042,1.0,1.0,1.0,1.0,1000.0
7,0.4094648333117378,0.8941538822198172,1.3338048878964948,1.0,1.0,1.0,1.0,1000.0
8,0.954747338969342,0.9543051540756426,0.6732421083716036,1.0,1.0,1.0,1.0,1000.0
6,0.4284026235468038,0.19853976456492345,1.1248020841524764,1.0,1.0,1.0,1.0,1000.0
8,0.36646540577483644,0.5498199300131215,0.8063866203332459,1.0,1.0,1.0,1.0,1000.0
7,0.47298206695519485,0.19085286028536314,1.1113917498214947,1.0,1.0,1.0,1.0,1000.0
5,0.34120894955996095,0.1255127288698057,1.3357651039198697,1.0,1.0,1.0,1.0,1000.0
10,0.4094648333117378,0.8941538822198172,1.3338048878964948,1.0,1.0,1.0,1.0,1000.0
4,0.4453206696010359,0.8393951302691629,0.8197840027930057,1.0,1.0,1.0,1.0,1000.0
4,0.6315255741586737,0.8393951302691629,0.8197840027930057,1.0,1.0,1.0,1.0,1000.0
8,0.7178354687611718,0.9721365852646895,1.2258526014465152,1.0,1.0,1.0,1.0,1000.0
6,0.3212633162803953,0.8389268570600409,1.1235275775481481,1.0,1.0,1.0,1.0,1000.0
2,0.18242630866456622,0.4249517265852465,0.6690836156604437,1.0,1.0,1.0,1.0,1000.0
10,0.76096152270458,0.9159342849078048,1.262885483833071,1.0,1.0,1.0,1.0,1000.0
